Source,Target
Credit Bureau,063952_ACE
Credit Bureau,External UBO Register (VFS appointed)
Credit bureau and other checks are initiated manually through email which is time consuming and tedious and are error prone.,"Ability to initiate credit bureau check, KYC check and FinScan check by collecting KYC and application form/concurrence for credit check"
Credit bureau and other checks are initiated manually through email which is time consuming and tedious and are error prone.,"KYC demographic details should be auto-filled through integrations with third party solutions (e.g., PAN, Passport, Voter ID, etc.)"
Credit bureau and other checks are initiated manually through email which is time consuming and tedious and are error prone.,The copies of KYC Documents collected should be stored in VFS servers and should not be accessible to field agents (not employees of VFS)
Credit Bureau Check & Finscan Screening,Clarification on Overdue and Negative Match
Credit Bureau Check & Finscan Screening,Credit Decline
Credit Bureau Check & Finscan Screening,Review of Documents Provided (notes)
Credit bureau customer search solution,Credit Bureau Data
Credit bureau customer search solution,"Customer name, VAT, address, customer group data, ..."
Credit bureau customer search solution,Customer search in credit bureau
Credit bureau customer search solution,Originations tool
Credit Bureau Data,""
Credit Bureau Gateway,Automated credit decisioning solution
Credit Bureau Gateway,Credit bureau customer search solution
Credit Bureau Gateway,Credit Bureau Data
Credit Bureau Gateway,Grading solution
Credit Bureau Gateway,Scorecard solution
Credit Bureau Interface,063952_ACE
Credit checks the documents received,Send mail to Sales Team to provide further documents for underwriting
Credit checks the documents received,Underwriting Process
Credit Director,200 Core Functions
Credit Director,250 Contract End and Asset Management
Credit Director,252 Remarketing
Credit Director,252:2 Monitor Remarketing Efficiency
Credit Inquery - KR,Check NICE Infobox Info - KR
Credit Inquery - KR,L3 Customer Credit Assessment
Credit Inquery - KR,L3 Risk Decisioning
Credit Management Support,Contract Management
Credit Management Support,Field Collection
Credit Management Support,Litigation/Repossession
Credit Management Support,Phone Collection
Credit Manager - China,02.06 Verify Customer Information
Credit Manager - China,03.04 Approval/Reject Credit Request
Credit Manager - China,03.07 Back Test Credit Decisions
Credit Manager - China,07.01.11 Contract Modification
Credit Manager - China,Analyze the differences between current collected data and the perviously collected data
Credit Manager - China,Collect Wholesale business data required by PBOC in T+1
Credit Manager - China,Generate PBOC reports based on the differences from last step
Credit Manager - China,Submit Reports to PBOC in T+1 mode Manually
Credit Officer,Credit Analysis & Decisioning
Credit Officer,Export Data (With Standard Format)
Credit Officer,Input Data Into An Excel Template Manually
Credit Officer,Insert Reports into Formal Credit Applications Package
Credit Officer,Manually Import to Data Lake
Credit Officer,Review Financial Statements
Credit Officer,Review financial statements and input data into an Excel Template Manually
Credit Officer,UBO Module UI
Credit Officer,Web based UI on Capital IQ platform
Credit Officer - Australia,2.02 Credit Review and Approve Dealer Request
Credit Officer - Australia,2.03 Notify Operation Team on the Approved Credit Line
Credit Officer - Australia,"2.2 Credit Approval Stage (OL is manually, others (Chattel Mortgage, HP, FL)  are done in VFS Connect)"
Credit Officer - Australia,"2.2.01 Collection of Client Details - Financials, References, Background Information, Veda Reports"
Credit Officer - Australia,2.2.02 Import Customer Financial Information in Spreading Tool
Credit Officer - Australia,2.2.03 Credit Review and Analyse before Submitting for Rating
Credit Officer - Australia,2.2.04 Submit for Appoval/Declinal
Credit Officer - Australia,2.2.05 RFM/Broker is advised reasons by phone
Credit Officer - Australia,2.2.06 RFM/Broker is advised by phone before formal approval advice is produced
Credit Officer - Australia,2.2.07 RFM/Broker emails Document Request to Retail Settlements Inbox
Credit Officer - Australia,"2.3 Documentation Stage (OL is manually, others (Chattel Mortgage, HP, FL)  are done in VFS Connect)"
Credit Officer - Australia,"2.3.01 Documents Request received, along with Inovice and Profile Calculator from RFM/Broker"
Credit Officer - Australia,2.3.02 Contact RFM/Brokder to confirm receipt of Document request
Credit Officer - Australia,2.3.03 Document Request are checked against Approval Advice & Application
Credit Officer - Australia,2.3.04 Profile Calculator checked
Credit Officer - Australia,2.3.05 Document Request are prepared against Approval Advice & Application (copy)
Credit Officer - Australia,2.3.06 Profile Calculator prepared
Credit Officer - Australia,"2.3.07 Complete Documentation and Settlement Registers, Allocate Contract Number"
Credit Officer - Australia,"2.3.08 Select Document Folder/Package from Share Drive (i.e. CM - Chattel Mortgage, CHP - Commercial Hire Purchase, Finance Lease, Operating Lease)"
Credit Officer - Australia,2.3.09 Documents prepared as per Document Checklist and Profile Calculator
Credit Officer - Australia,2.3.10 Documents are compliance checked for Accuracy and Quality by Collections or Credit
Credit Officer - Australia,2.3.11 Documents are PDF and Zipped
Credit Officer - Australia,"2.3.12 Feedback is given, errors outlined and corrected"
Credit Officer - Australia,2.3.13 Documents sent via Email to RFM / Broker
Credit Officer - Australia,2.3.14 Save Documents to Customer Folder
Credit Officer - Australia,2.4 Settlement Stage
Credit Officer - Australia,2.4.01 Settlement Request Received
Credit Officer - Australia,2.4.02 Contact RFM/Broker confirm receipt of settlement docs
Credit Officer - Australia,2.4.03 Compliance check executed documents
Credit Officer - Australia,2.4.04 Create Settlement Checklist
Credit Officer - Australia,"2.4.05 Prepare Direct Debit (DD), Payment Request, EFT Request and Remittance Advice"
Credit Officer - Australia,2.4.06 PPSR (Personal Property Securities Register) Lodged
Credit Officer - Australia,2.4.07 Compliance Checked
Credit Officer - Australia,2.4.08 Contact RFM/Broker and Advise Issue
Credit Officer - Australia,2.4.09 Stop Settlement - Deal Pending until further notice
Credit Officer - Australia,2.4.10 Settlement Register Updated
Credit Officer - Australia,2.4.11 Customer and Contract created on Southpac
Credit Officer - Australia,2.4.12 Send out Settlement Remittance Advice to RFM/Broker
Credit Officer - Australia,2.4.13 Settled on Fax Copy
Credit Officer - Australia,3.01 Run End of Month FloorPlan Control Report
Credit Officer - Australia,"3.02 If overdue, Inform Dealer"
Credit Officer - Australia,3.1 Modification Workflow
Credit Officer - Australia,3.1.06 Refer to Credit Team to Review and Approval
Credit Officer - Australia,3.1.07 Documentation Completed & Executed by all Parties
Credit Officer - Australia,4.01 Set Dealer Inventory Audit Plan
Credit Officer - Australia,4.03 Review Inventory Audit Result
Credit Officer - Australia,4.04 Post Inventory Audit Activities
Credit Officer - Australia,4.2.05 Refer to Credit Risk / Operations Manager for Repossession Approval. Allocation of Specific Provision and Non Accrual
Credit Officer - Australia,PM EMEA - Australia Instance
Credit Officer - Australia,VFS Finscan - Australia Instance
Credit Officer - China,019222_VFS Connect
Credit Officer - China,02.04 Receive Quote
Credit Officer - China,02.06 Verify Customer Information
Credit Officer - China,02.07 Obtain Additional Information
Credit Officer - China,029334_Longtop Leasing Disclosure
Credit Officer - China,03.01 Comprehensive Analysis on Credit Application
Credit Officer - China,03.02 Divert Applications for Credit Decision
Credit Officer - China,03.04 Approval/Reject Credit Request
Credit Officer - China,037785_PM APAC (AFC)
Credit Officer - China,07.01.02 Credit Review and Approval
Credit Officer - China,07.01.11 Contract Modification
Credit Officer - China,076720_Finscan AFC
Credit Officer - China,119960_VFS China Quick Quotation Tool
Credit Officer - China,6. Credit Review and Approval (China)
Credit Officer - China,Add Client into Finscan Local Database
Credit Officer - China,AML: Regular Blacklist Check
Credit Officer - China,Application Quotation
Credit Officer - China,"Base on the Screening Result, Do Manually Review (Safe, Pending, Hit)"
Credit Officer - China,Check Customer Identification via CCX
Credit Officer - China,Check KYC/UBO and Calculate Risk Grading
Credit Officer - China,Credit Officer MyPlace PC
Credit Officer - China,Customer Credit Rating Confirm
Credit Officer - China,"Get ""No Record Found"" Message, Treat as New Customer"
Credit Officer - China,Get Customer Info and Login Finscan
Credit Officer - China,"Get Searching Result, Verify Result"
Credit Officer - China,"If need follow up, work in AML system"
Credit Officer - China,"If Result Info is Not the Client, Update Info"
Credit Officer - China,"If Result is Confirmed this Client, Means Have Previously Checked this Client"
Credit Officer - China,Initial Black List and AML Risk Rating Check
Credit Officer - China,Initial Wholesale Contract - China
Credit Officer - China,L3 Contract Amendment
Credit Officer - China,new_ACE_China-AFC/FLC (logical seperating)
Credit Officer - China,Obtain customer total exposure and payment performance
Credit Officer - China,PBOC Standalone PC
Credit Officer - China,Perform credit underwriting and provide/obtain credit approval
Credit Officer - China,Phone check
Credit Officer - China,PM EMEA - CN-FLC Instance
Credit Officer - China,Prepare daily report to Finance
Credit Officer - China,Prioritize credit approvals
Credit Officer - China,Quotation Approval / Reject
Credit Officer - China,Regular Compliance AML Checking Result Follow Up
Credit Officer - China,"Search ""Name"" in Finscan (in Local DB)"
Credit Officer - China,Set Wholesale Credit Limit - China
Credit Officer - China,"Trigger ""List Search"", Do Actual Finscan Screening"
Credit Officer - China,Trigger AML Name List and Risk Grading Check
Credit Officer - China,Waive PBOC checking
Credit Officer Login AML System to Follow Up Identification,Escalate the Management Review and Approval
Credit Officer MyPlace PC,NCIIC Site
Credit Officer MyPlace PC,SAIC Site
Credit Portal and LOS Integration Track,Develop API in LOS (Ebix)
Credit Portal and LOS Integration Track,Develop Service Call from Portal (Systematix)
Credit Portal and LOS Integration Track,Implement Integration via API-C (VFS)
Credit Pre UW & Recommendation Stage,Underwriting Stage
Credit Profile API - NA,L3 Credit & Risk API
Credit Reports (AFC) SSRS,LCC_Report
Credit Reports (AFC) SSRS,PBOC_Bothside_Company
Credit Reports (AFC) SSRS,PBOC_Bothside_Individual
Credit Reports (AFC) SSRS,Pre-Approval_Process_Report_Detail
Credit Reports (AFC) SSRS,Repayment_Plan
Credit Reports (AFC) SSRS,Repeat_Customer_Check_Report
Credit Reports (FLC) SSRS,LCC Report
Credit Reports (FLC) SSRS,Leasing Registration Report
Credit Reports (FLC) SSRS,PBOC Leasing Registration Report
Credit Reports (FLC) SSRS,Pre-Approval_Process_Report_Detail
Credit Reports (FLC) SSRS,Repeat Customer Check
Credit Request Experience API - NA,L3 Credit & Risk API
Credit Request Manager,Approval Conditions Management
Credit Request Manager,Asset Credit Risk Profiling
Credit Request Manager,Credit Request Management
Credit Request Manager,Credit Risk Business Engine
Credit Request Manager,Customer Credit Risk Profiling
Credit Request Manager,Manual Decision Resolution
Credit Request Manager,Sales Platform
Credit Request Manager,Transaction Credit Risk Profiling
Credit Request Submitted - A,Enhance Request with Data - A
Credit Risk Business Engine,Analyst Next Step Recommendation
Credit Risk Business Engine,Business Rules Manager
Credit Risk Business Engine,Credit Decision
Credit Risk Business Engine,Required Credit Conditions
Credit Risk Business Engine,Required Documentation
Credit Risk Business Engine,Scorecard Calculation
Credit Risk Decision Engine,Credit Request Manager
Credit Risk Decision Engine,Credit Risk Business Engine
Credit UnderWriting - KR,L3 Risk Decisioning
Credit UnderWriting - KR,L3 Risk Mitigation
Credit Underwriting - NA,Asset Credit Risk Profiling - NA
Credit Underwriting - NA,Customer Credit Risk Profiling - NA
Credit Underwriting - NA,Transaction Credit Risk Profiling - NA
Credit Underwriting Module,Credit Officer - China
CRIF (Credit Bureau),115007_India Credit Portal
CSG_WeChat-Account-Backend-Service,CNTSNN079-MySQL
CSG_WeChat-Account-Backend-Service,MySQL for POC
CSG_WeChat-Account-Backend-Service,SMS Service
CSG_WeChat-Account-Backend-Service,SMTP Email Gateway
CSG_WeChat-Account-Backend-Service,UnionPay Auth API
CSG_WeChat-Account-Backend-Service,UnionPay Payment API
CSG_WeChat-Account-Backend-Service,WeChat Merchant API
CSG_WeChat-Account-Backend-Service,Wechat Mgmt API
CSG_WeChat-Account-Backend-Service,Wechat Open API
CSG-ECS,CSG-ECS-Service
CSG-Gateway,CSG-Gateway-Service
CSG-Legacy,CSG-Change-Request
CSG-Legacy,CSG-Contract-Info-Query
CSG-Legacy,CSG-Customer-Notification
CSG-Legacy,CSG-Online-Payment-Service
CSG-Legacy,CSG-Payment-Plan-Query
CSG-Legacy,CSG-Payment-Record-Query
CSG-Legacy,CSG-User-Bundling-Service
CSG-Legacy,WeChat  App
CSG-POA,CSG-POA-Service
CSG-Service-Discovery,CSG-Service-Discovery
CSN network,019152_CoreView
CSN network,019256_Vienna
CSN network,Baiwang 前置机
CTDI,3 Management & Administration
"Current CAM preparation is manual, which is erro prone","Ability to generate CAM automatically in pre-defined format, with all relevant information from above."
Current Excel is used to provide these details which is error prone,"Ability to have a functionality (screen for Sales) where Asset deployment details are mentioned and viability provided, so that Credit can analyse it"
Current Excel is used to provide these details which is error prone,"Ability to pre-fill fields such as fuel cost, insurance, mileage, tyre cost, etc. - use existing standard data (or market data) as applicable"
Current process is manual where communication is done with Auction Partners over emails. Needs integration with collections system.,Ability to approve the case by appropriate authority as per rules and workflow; and ability to send for approval with case history.
Current process is manual where communication is done with Auction Partners over emails. Needs integration with collections system.,Ability to collate quotes from different platforms and automated decision (the best price and platform) as per the rules.
Current process is manual where communication is done with Auction Partners over emails. Needs integration with collections system.,"Initiate necessary alerts / communication to relevant stakeholders (customer, platform representatives etc.)."
"Current scorecard done manually, which is error prone and can be finalized only post approval","Ability to automatically grade customers, basis documents and information collected - Grading to decide on IRR and Approving authority based on rule engine."
Current State,Phase 1 - Build Up Credit Portal
"Current system is not user friendly so Collection has total dependency on Live Contract (Excel), prioritization is not available, secondary allocation limitation","Ability to generate alert/triggers and allocate to relevant stakeholders (as per defined rules - Field Agents, Phone banking Agents, Sales, Ops etc.) for necessary communication initiation."
"Current system is not user friendly so Collection has total dependency on Live Contract (Excel), prioritization is not available, secondary allocation limitation.","Ability to execute multiple/bulk allocations, restrict allocation, provide summary view/dashboard, to prioritize."
"Current system is not user friendly so Collection has total dependency on Live Contract (Excel), prioritization is not available, secondary allocation limitation.","Ability to generate alert/triggers and allocate to relevant stakeholders (as per defined rules - Field Agents, Phone Banking Agents, Sales, Ops etc.) for necessary communication initiation"
Currently approval is maintained on email and uploaded in the system manually,Ability to generate sanction letter / rejection letter post decision by decision authority in predefined format with digital signature to be made available to Sales and Credit
Currently done manually,Ability for RCU vendor / internal to conduct RCU validation
Currently done manually,"Ability to calculate net loss for write off cases basis outstanding amount, DPD, depreciation curve, market value etc. and be able to post final net loss entries in GL (Charges, taxes, GST etc.)"
Currently done manually,Ability to conduct digital review of documents (using ML algorithm) and raise sampling requests if required
Currently done manually,Ability to configure additional fields
Currently done manually,Ability to generate dep curve basis parameters and rules defined by business.
Currently done manually,"Ability to import data from LMS and generate customer communication (Email, SMS, WhatsApp, Notifications/Alerts, Calls etc.) on delinquent accounts as per rules (frenquency) - Communication to trigger from communication module"
Currently done manually,"Ability to integrate with Bureaus (Credit Bureau, Experian, etc.) and 3rd party Aggregators for Borrower / Co-Borrower / Guarantor / Associated Parties"
Currently done manually,"Ability to integrate with VAHAN, ROC, NSDL, CKYC, other government agencies"
Currently done manually,Ability to integrate with Volvo Group (Finscan) database for AML / Sanctions / RBI database check (Finscan check)
Currently done manually,Ability to offer mobile App view for RCU team to view and access documents digitally and respond from field at real time
Currently done manually,"Ability to receive feed from a repository related to Work Orders (from NHAI(?), Coal India, NTPC(?), MML(?), etc.) and maintain a database within VFS"
Currently done manually,"Ability to route cases based on rules for customer segments Asset Type, profiles, brands, etc."
Currently done manually,"Ability to route cases based on rules for customer segments, Asset Type, profiles, brands. etc."
Currently done manually,"Ability to take decision whether the case is Straight through, Credit Refer or Reject, basis dynamic rule engine (e.g. grading, credit bureau report, exposure, etc.)"
Currently done manually,"Ability to take decision whether the case is Straight through, Credit Refer or Reject, basis dynamic rule engine (Example Grading, Credit Bureau report, Exposure, etc.)"
Currently done manually,"System should have ability to upload / read / download underwriting related documents like Bank statements, financial, contract copies, rating reports, etc. and the information to be stored in relevant fields"
Currently handled manually,"Ability to print E-Stamps as per business requirement, initiated from core"
Currently manual,Ability to identify and mitigate the risks that do not exists today or have a potential to develop in future and are difficult to quantify.
Currently manual,"Ability to identify the potential industry impact areas (regulatory, industry, global etc.) and accordingly take actions to mitigate the risks."
Currently manual,"The ability to assess the portfolio health on a periodic basis to identify any risks associated with segment, industry, regulatory changes etc."
Currently manual,"The ability to define, assess, monitor and revise the credit policy in accordance with business strategy, goals and objectives."
Currently manual process,Ability to generate list of documents required (as per Check List) to move case to operations for processing of disbursal
Currently manual process,"Ability to integrate with external vendor / website (VAHAN, Insurance Companies, ROC Website etc.) to fetch the concerned documents and automate ROC registration"
Currently manual process,Ability to trigger intimation to BA on offer letter release/acceptance and same to be updated in CRM on real time basis
"Currently manual update with bank for NACH, PDC etc.","Ability to automatically generate cycle-wise files which need to be shared with Banking Partner / Payment gateway for EMI collection, before the due date (as per defined policy)"
"Currently manual update with bank for NACH, PDC etc.",Additonally representation of bounced / failed attempt for NACH / payment gateway
"Currently manual update with bank for NACH, PDC etc.","The Operations should be able to view the dues break-up (princiapl, interest & charges) allocate basis a defined rule, there will be an optional to override allocation"
Currently manual. Based on email approvals,Ability to select correct rate approval screen basis various parameters (BA / Grade / Fleet & Non-Fleet or anything in future) for rate approval
"Currently manually update with bank for NACH, PDC, etc.","Ability to update different EMI payment methods - NACH, eNACH, PDC, UPI, QR Code Enabled NACH, RTGS, NEFT, any other future payment methods"
Currently Ops need to validate each data entry in system and documents provided,Ability of system to automatically compare document details with validation from source and highlight only deviations for Ops user
Currently Ops need to validate each data entry in system and documents provided,Ability to offer OCR capability (or integration with OCR solution)
"Currently received manually, needs to be integrated and seamless flow from dealer/BA. Verify per checklist and approve.",Ability to integrate with BA / Dealer system
"Currently received manually, needs to be integrated and seamless flow from dealer/BA. Verify per checklist and approve.",Ability to stop the workflow unless all the checklist criteria is met
"Currently received manually, needs to be integrated and seamless flow from dealer/BA. Verify per checklist and approve.",Ability to validate documents (insurance & invoice) and case- basis pre-defined dynamic checklist per product type
Currently Subject to Conditions and Deferral are tracked manually,Ability to record Subject to Conditions of approvals and Track the same
"Currently the cycle of dunning doesn’t stop even after customer payment, the process continues as per first cycle. The cycle is managed manually.",Trail of outbound and inbound communication (end to end)
Currently there is a limitation of allocating 50 contracts per person,"Ability to execute multiple/bulk allocations, restrict allocation, provide summary view/dashboard, to prioritize"
"Currently there is a limitation of allocating 50 contracts per person, speed is a concern","Ability to execute multiple/bulk allocations, restrict allocation, provide summary view/dashboard, to prioritize."
"Currently there is a limitation of allocating 50 contracts per person, speed is a concern","Ability to offer Collections features on mobile - features like allocation, collection field activities (GPS, Geo Tracking, Rout Suggestions and Optimization, Customer interactions, Payment Receipt and Update, Dunning, etc.), real time tracking (hierarchy view), initiate repo. Additionally, provide offline features for mobile - receipting, etc."
Currently there is EOD dependency for the status update.,Ability to update the loan status on a real time after the successful repossession/surrender/payment/release.
Currently unavailable,Ability to provide minimum expected customer interest rate on given transaction under auto approval basis defined rules
Cusotmer Onboarding,Cusotmer Orders Parts and/or Services
Cusotmer Onboarding,L2 Onboarding Management
Cusotmer Onboarding,Vendor Creates Recurring Billing Contract
Cusotmer Orders Parts and/or Services,Transaction Info Sent for Validation
Customer,""
Customer,1.00 Request for a New Quote
Customer,1.08 Customer Credit Request Approved
Customer,1.09 Contract Signed
Customer,Complete Insurance Offering
Customer,Customer Quote / Customer Credit Request to VFS
Customer,Domain - Asset
Customer,Domain - Contract
Customer,Domain - Customer Foundation
Customer,Domain - Dealer
Customer,Domain - Finance/Accounting
Customer,Domain - Marketing
Customer,Domain - Originations
Customer,Domain - Risk
Customer,Financing Request Is Confirmed - China
Customer,L2 Digital Channel Management
Customer - Australia,3.1 Modification Workflow
Customer - Australia,3.1.01 Customer Contacts VFS & Advises of Genuine Financial Difficulty
Customer - Australia,3.1.02 Customer Makes Formal Request in Writing Requesting Assistance
Customer - Australia,3.1.03 Customer Provides all Requested Documentation to Support Request
Customer - Australia,3.1.07 Documentation Completed & Executed by all Parties
Customer - Australia,3.2 Variation Workflow (Change Borrower/Guarantor)
Customer - Australia,3.2.01 Customer Contacts VFS requesting borrower change
Customer - Australia,3.2.02 Customer provides supporting documents
Customer - Australia,3.2.05 Documentation Completed & Executed by all Parties
Customer - Australia,3.3 Due-Date Change Workflow
Customer - Australia,3.3.01 Customer initiates the due-date change request
Customer - Australia,3.3.03 Customer need to pay the overdue amount to make the contract up-to-date
Customer - Australia,3.4 Change Payment Detail Workflow
Customer - Australia,3.4.01 Customer Request Payment Detail Change due to Bank Info Change
Customer - Australia,3.4.02 Customer provides supporting documents to VFS (e.g. new signed direct debit form)
Customer - Australia,3.5 Customer Contact Information Change Workflow
Customer - Australia,3.5.01 Customer request contact information change
Customer - Australia,3.5.02 Customer provides supporting documents
Customer - Australia,3.6 Early-Termination Workflow
Customer - Australia,3.6.01 Customer request ET to VFS
Customer - Australia,"3.6.04 If Customer agrees the ET Quotation, customer will issue the payment"
Customer - Australia,3.7 Customer Request Statement Workflow
Customer - Australia,3.7.01 Customer initiates the request for Statement Document
Customer - Australia,3.8 Customer Request Payment Schedule Workflow
Customer - Australia,3.8.01 Customer initiates the request for Payment Schedule
Customer - Australia,5.12 Customer Refuses to Surrender Securities to Agent
Customer - Australia,6.06 Customer Contacts Office to Initiate Redemption
Customer - Australia,"6.07 Customer Satisfies Redemption Requirements within 21 Days of ""Notice after taking Possession"" being Issued"
Customer - China,02.01 Quote Request
Customer - China,072424_VFS China CSG
Customer - China,09.01.01 Customer Request for Early Termination
Customer - China,09.01.15 Contract Carries Forward
Customer - China,11.01.02 Customer Signs Remarketing & Debt Settlement Agreements
Customer - China,2. Customer Authorize PBOC Check in E-Signature App (China)
Customer - China,Call In Hotline
Customer - China,China ABC DD Online Authorization
Customer - China,China CSG WeChat Pre-Binding
Customer - China,CNTSNN061
Customer - China,CNTSNN078
Customer - China,CSG-ECS
Customer - China,DD Is Selected With ABC Card
Customer - China,Fill in Auth Code and Confirm
Customer - China,Fill in Bank No.  Phone No.
Customer - China,Go to ABC Local Branch
Customer - China,Leave Voice Message
Customer - China,Payment for Rental
Customer - China,Submit DD Authorization Request
Customer - India,Check Sponsor Bank Information & Submit
Customer - India,Collect all the relevant information needed for mandate set-up at NPCI
Customer - India,Complete the necessary formalities and information
Customer - India,Customer Accepts VFS proposal and completes documentation
Customer - India,eMandate is triggered after contract is activated
Customer - India,Fills Mandate Form Mannually
Customer - India,Give the corporate the authority to debit his account for a certain period and at a certainfrequency
Customer - India,Issue the NACH mandate form
Customer - India,Mandate Cancellation Started
Customer - India,Perform Authentication from Destination Bank
Customer - India,Provide details for eMandate registration to Sales team of  VFS India
Customer - India,Send mandate cancellation file via e-Mail or Online web form
Customer - India,Submit cancellationform to stop NACH any time
Customer - India,Submit Mandate to Sponsor Bank
Customer & Partner Engagement,L1 Customer & Partner Support
Customer & Partner Engagement,L1 Customer Relationship Management
Customer & Partner Engagement,L1 Marketing
Customer & Partner Engagement,L1 Sales
Customer Accepts VFS proposal and completes documentation,Start the System Entry in LOS
Customer Advisor (CA) - China,02.01 Quote Request
Customer Advisor (CA) - China,03.07 Back Test Credit Decisions
Customer AML Risk Statistics,Customer Statistics on High/Mid/Low Risk Grading
Customer AML Risk Statistics,Customer Statistics on ID to be expired in 60 days
Customer AML Risk Statistics,Customer Status Statistics
Customer and Distribution,Channel Management
Customer and Distribution,Customer Management
Customer and Distribution,Partner Management
Customer and group exposure calculations,L3 Pipeline Analysis
Customer and group exposure calculations,L4 VFS Exposure Management
Customer and group exposure calculations,Risk assessment
Customer answer call,Record call hisotry
Customer Awareness of the EaaS Product & their Benefits,Product Fit to Customer Specific Needs & Operations
Customer Business Profile - NA,L3 Credit Information Management
Customer Consent - KR,Credit Inquery - KR
Customer Consent - KR,L3 Customer Credit Assessment
Customer Consent - KR,L3 Risk Decisioning
Customer Consent Collection,Navigation & Selection Page
Customer creation,019256_Vienna
Customer Credit Gateway - NA,L3 Credit Information Management
Customer data confidentiality - India,1. User Role & Access Rights Request - India
Customer data confidentiality - India,2. User Role & Access Rights Approval - India
Customer data confidentiality - India,221:2 Protect Customer Financial Data
Customer data confidentiality - India,"3. User Role, Credentials & Access Rigths Configuration in System - India"
Customer data confidentiality - India,4. Authorized to Access User Roles - India
Customer data master solution,Customer relationship data mastering and management
"Customer data, pipeline deals data, active contract data, ...",""
Customer Difficulty Time Care,Modification Solution
Customer Difficulty Time Care,Seasonal Solution
Customer domain API,Customer lookup
Customer Exposure - NA,L3 Credit Information Management
Customer Financial Data Verification - India,01 Quotation Generation - India
Customer Financial Data Verification - India,02 Quick Data Entry (QDE) - India
Customer Financial Data Verification - India,03 Detailed Data Entry (DDE) - India
Customer Financial Data Verification - India,04 Sales Pre-Underwritting (Pre UW) - India
Customer Financial Data Verification - India,221:1 Verify Customer Financial Information
Customer Financial Data Verification - India,Complete Application - India
Customer Financial Data Verification - India,Credit Bureal (CIBIL) Check - India
Customer Financial Data Verification - India,De-Dupe - India
Customer Financial Data Verification - India,Field Investigatin (FI) - India
Customer Financial Data Verification - India,KYC Document Receipt - India
Customer Financial Data Verification - India,RBI Defaulters / VFS Negative Customer List / Reject List
Customer Financial Data Verification - India,RBI Defaulters / VFS Negative Customer List / Reject List Check - India
Customer Financial Data Verification - India,Reject Review - India
Customer Financial Data Verification - India,Sales Recommendation - India
CUSTOMER FINANCIALS,VFS CUSTOMER
Customer Identification,Corporate Customer Identification (UBO)
Customer Identification,Customer AML Risk Grading
Customer Identification,Customer Identification Recording and Retention
Customer Identification,Individual Customer Identification (KYC)
Customer Info Change Request or Regular AML Sub Process,Customer Re-KYC / Re-UBO Check
Customer Info Change Request or Regular AML Sub Process,Got Customer Information Change Request or base on Pre-defined rule
Customer Info Change Request or Regular AML Sub Process,Process Customer Information Change
Customer Information,个人客户信息表Individual customer information
Customer Information,对公客户信息表Corporate customer information
Customer Initial Info,""
Customer Initial Info,Check Request
Customer Initial Information Change,400 Customer Service Accept Request
Customer Initial Information Change,Sales Collect Supporting Documents
Customer lookup,019222_VFS Connect
Customer lookup,Dealer quotation back-end
"Customer name, VAT, address, customer group data, ...",""
"Customer number, name, VAT, address, cusomer group data, ...",""
Customer Onboarding - KR,Customer Consent - KR
Customer Onboarding - KR,L2 Customer Information Management
Customer Payment Behavior - NA,L3 Credit Information Management
Customer Pays to VFS,Dispute Management
Customer Pays to VFS,L3 Limit & Exposure Management
Customer Pays to VFS,L3 Payment Execution Management
Customer Portal Platform,Ad-hoc generated invoices
Customer Portal Platform,Analytical data
Customer Portal Platform,Contract data for customers as REST resource
Customer Portal Platform,Contract files for customers as REST resource
Customer Portal Platform,Contract Widget data
Customer Portal Platform,Contract Widget files
Customer Portal Platform,Data for widgets
Customer Portal Platform,Data pond data
Customer Portal Platform,Documents
Customer Portal Platform,Documents for widgets
Customer Portal Platform,Existing service cases
Customer Portal Platform,Global Contract Widget
Customer Portal Platform,Global Invoicing Widget
Customer Portal Platform,New service case
Customer Portal Platform,Processed analytical data
Customer Portal Platform,Service case data for widgets
Customer Portal Platform,Service Case Management Widget
Customer Portal Platform,Settlement Figure High Integration Widget
Customer Portal Platform,Settlement Figure Medium Integration Widget
Customer Portal Platform,Widget UI
Customer Quote / Customer Credit Request to VFS,Make and Present Offer to Customer / Negotiate and Close the Deal
Customer Rating Model,Vendor Job/Batch
Customer relationship data mastering and management,L2 Master Data Management
Customer Repayment Support,Change Due Date
Customer Repayment Support,Change Repayment Card
Customer Repayment Support,Contract Term Modification
Customer Repayment Support,Early Payout
Customer Request To Terminate,Login WeCom
Customer Satisfaction,EaaS Offering
Customer satisfaction survey,Record Calls History
Customer scorecard,""
Customer search in credit bureau,127759_VFS Ad Builder BrandMuscle
Customer search in credit bureau,L4 Customer Credit Report Management
Customer search in credit bureau,Originations tool
Customer Service Officer (CSO) - China,06.07 Receive Clearing Email from Collection
Customer Service Officer (CSO) - China,08.01.02 Prepare Daily Delinquency Call
Customer Service Officer (CSO) - China,08.01.03 Collection Calls and Activities
Customer Service Officer (CSO) - China,08.01.03.01 T+1 Collection Call
Customer Service Officer (CSO) - China,08.01.03.02 T+30 Collection Call
Customer Service Officer (CSO) - China,08.01.03.03 T+60 Collection Call
Customer Service Officer (CSO) - China,08.01.04 Document Collection Efforts in CMS
Customer Service Officer (CSO) - China,08.01.10 Ensuing Measures
Customer Service Officer (CSO) - China,09.01.01 Customer Request for Early Termination
